SIDARAC,marka,arac_yasi,yas_kategori,toplam_ariza,toplam_zayi_sefer,cekici_talep_sayisi,ort_mudahale_sure,garaj,garaj_ilce,RİSK_SEVİYESİ
4322.0,KARSAN,12.0,Orta (8-12),185,187,12,0.06680150602409636,G_ISL2,Küçükçekmece,🔴 YÜKSEK RİSK
5336.0,MERCEDES,19.0,Yaşlı (13+),177,190,3,0.08996695156695157,G_IKT,Küçükçekmece,🔴 YÜKSEK RİSK
3262.0,KARSAN,12.0,Orta (8-12),195,169,6,0.19170074309978768,G_ISL2,Küçükçekmece,🔴 YÜKSEK RİSK
1727.0,KARSAN,12.0,Orta (8-12),191,153,4,0.029333434959349595,G_ISL2,Küçükçekmece,🔴 YÜKSEK RİSK
2008.0,KARSAN,12.0,Orta (8-12),146,159,12,0.11525102564102563,G_ISL2,Küçükçekmece,🔴 YÜKSEK RİSK
1902.0,KARSAN,12.0,Orta (8-12),170,155,7,0.36752652068126523,G_ISL2,Küçükçekmece,🔴 YÜKSEK RİSK
1820.0,KARSAN,12.0,Orta (8-12),186,149,2,0.06633934911242603,G_ISL2,Küçükçekmece,🔴 YÜKSEK RİSK
3263.0,KARSAN,12.0,Orta (8-12),175,145,7,0.05480132850241546,G_ISL2,Küçükçekmece,🔴 YÜKSEK RİSK
4516.0,KARSAN,12.0,Orta (8-12),161,148,11,0.29421960093896715,G_ISL2,Küçükçekmece,🔴 YÜKSEK RİSK
2005.0,KARSAN,12.0,Orta (8-12),148,152,10,0.9689251207729467,G_ISL2,Küçükçekmece,🔴 YÜKSEK RİSK
1423.0,KARSAN,12.0,Orta (8-12),168,149,5,0.904814254385965,G_ISL2,Küçükçekmece,🔴 YÜKSEK RİSK
2723.0,TEMSA,11.0,Orta (8-12),162,149,7,1.4727557522123895,G_ISL2,Küçükçekmece,🔴 YÜKSEK RİSK
3080.0,MERCEDES,19.0,Yaşlı (13+),161,143,8,0.09711453333333332,G_IKT,Küçükçekmece,🔴 YÜKSEK RİSK
1273.0,KARSAN,12.0,Orta (8-12),179,133,11,0.03497457420924574,G_ISL2,Küçükçekmece,🔴 YÜKSEK RİSK
2872.0,KARSAN,12.0,Orta (8-12),165,142,7,0.6241380778588808,G_ISL2,Küçükçekmece,🔴 YÜKSEK RİSK
1913.0,KARSAN,12.0,Orta (8-12),163,137,11,0.028469144144144146,G_ISL2,Küçükçekmece,🔴 YÜKSEK RİSK
1270.0,KARSAN,12.0,Orta (8-12),173,129,7,0.18366179653679654,G_ISL2,Küçükçekmece,🔴 YÜKSEK RİSK
4306.0,KARSAN,12.0,Orta (8-12),187,129,4,0.5152164670658683,G_ISL2,Küçükçekmece,🔴 YÜKSEK RİSK
2876.0,KARSAN,12.0,Orta (8-12),144,141,9,0.12954545454545455,G_ISL2,Küçükçekmece,🔴 YÜKSEK RİSK
4321.0,KARSAN,12.0,Orta (8-12),151,137,7,0.11734049479166668,G_ISL2,Küçükçekmece,🔴 YÜKSEK RİSK
