ARIZAUSTKODTANIM,ariza_sayisi,toplam_zayi_sefer,ort_zayi_sefer,cekici_oran
SOĞUTMA SİSTEMİ ARIZASI,14933,19300,1.29,0.0
Destek,8032,19206,2.39,1.0
MOTOR ARIZALARI,12735,16863,1.32,0.0
KAPI ARIZALARI,11743,14278,1.22,0.0
ELEKTRİK SİSTEMİ ARIZALARI,11270,13916,1.23,0.0
KAROSER ARIZALARI,8390,11129,1.33,0.0
FREN ŞİKAYETLERİ,8104,10470,1.29,0.0
OTOMATİK ŞANZIMAN ARIZALARI,6594,8311,1.26,0.0
SÜSPANSİYON SİSTEMİ ARIZALARI,6477,8183,1.26,0.0
KLİMA SİSTEMİ ARIZALARI,6349,7829,1.23,0.0
ISITMA SİSTEMİ,3389,4447,1.31,0.0
YAKIT ve ENJEKSİYON ARIZALARI,3091,3851,1.25,0.0
BASINÇLI HAVA DONANIMI ARIZALARI,2681,3492,1.3,0.0
KAYIŞ KASNAK ARIZALARI,2449,2917,1.19,0.0
AKBİL ARIZALARI,2038,2835,1.39,0.0
