hat_id,degree_cent,betweenness,derece,hat_adi
953,0.05459387483355526,0.047855892902458654,41,AVR1
952,0.03994673768308922,0.032485387332088195,30,AVR3
746,0.041278295605858856,0.032061477933944434,31,AVR2
354,0.01731025299600533,0.02090108509517891,13,25A
888,0.026631158455392812,0.015735220102642063,20,336
630,0.05059920106524634,0.01509456797536628,38,134YK
571,0.03462050599201066,0.014978370021025245,26,KM41
826,0.014647137150466047,0.014615826405373254,11,48
653,0.04793608521970706,0.014468075845321492,36,133F
7,0.022636484687083888,0.01439038652235379,17,336M
690,0.030625832223701733,0.014091075120481827,23,MK13
840,0.07190412782956059,0.013995755609252914,54,18K
609,0.011984021304926765,0.013465581238163283,9,47L
347,0.05059920106524634,0.01337997400380892,38,132K
433,0.045272969374167776,0.012913380787592094,34,E-3
225,0.010652463382157125,0.012390180318332205,8,98KM
898,0.02130492676431425,0.012177375942038842,16,20Ü
807,0.009320905459387484,0.012046139263786323,7,150
102,0.0426098535286285,0.011993558865882797,32,146
117,0.057256990679094545,0.01150962334085423,43,15
