YIL,AY,ariza_sayisi,zayi_sefer,cekici_talep,TARIH
2024,1,9736,13033,314,2024-01-01
2024,2,8729,11343,229,2024-02-01
2024,3,22031,12967,301,2024-03-01
2024,4,11976,12353,302,2024-04-01
2024,5,13505,13344,362,2024-05-01
2024,6,14239,10342,455,2024-06-01
2024,7,14941,9708,442,2024-07-01
2024,8,13389,9066,366,2024-08-01
2024,9,13565,8051,426,2024-09-01
2024,10,13757,7320,478,2024-10-01
2024,11,12754,6633,349,2024-11-01
2024,12,13398,7110,419,2024-12-01
2025,1,11942,6633,331,2025-01-01
2025,2,12953,6880,425,2025-02-01
2025,3,12789,7035,439,2025-03-01
2025,4,11555,6191,368,2025-04-01
2025,5,14525,8163,552,2025-05-01
2025,6,14536,8101,552,2025-06-01
2025,7,16044,8563,605,2025-07-01
2025,8,13958,6728,496,2025-08-01
2025,9,15386,7108,509,2025-09-01
2025,10,14495,6608,505,2025-10-01
2025,11,16280,7115,499,2025-11-01
2025,12,16903,6565,478,2025-12-01
